text,class
"Saw the ad today. Had the shake yesterday. Seriously, it's a great shake.❤",positive
"1:55 At our university, there are one guy who have been taking care of junior sisters who have been coming to the university for 8 years.I remembered him.😂😂",positive
"O/L , A/L දැන් Uni 👌❤️ නියමයි 💥",positive
ඇඩ් නම් උඹලාම තමයි බ්ලොක් ඇන්ඩ් ඩිනෝ ❤,positive
I wish these ads were longer! ❤❤,positive
❤❤ well done blok and dino...❤❤,positive
"හැමදාමත් කියනවා වගේ හිතාගන්නවත් බැරි script හදන සුපිරි පිස්සො දෙන්නෙක් 😂❤️

දැන් Anchor Milkshake එකකුත් බීලා බලන්න ඕනෙ 🌝🌝",positive
"1:17 ""එකම රග්බි ටීම් එකේ හැබැයි ස්කෝල 5කින්"" 🤣 💔 I felt it. 3:23 gold ප්ලේට තුවක්කුව දුමි# දි # 🤣💔",positive
මාර creative එ්ක නම්..😮❤,positive
Wow new hit ❤🎉,positive
ඒ තමුසේ ලස්සන වෙලා ඔඉ...ඒ කොස්ටියුම් එක මරු😊,positive
Ela...අදත් සුපිරීයක් ❤❤❤,positive
Block And Dino Supiri❤  patta intersting ...😅,positive
Very creative add. Well done Block & Dino 👍,positive
Nice as always,positive
🔥🔥,positive
"Already know I'm watching a promotion ad. But yet , nothing has stopped me from watching your videos.",positive
Supab  creative  boyz❤❤❤❤❤❤ .much love,positive
Wow පට්ට බ්ලොක් & ඩීනෝ,positive
It really is!,positive
දෙන්නාම අලුත් ජිම් එකකට බහිනවා වගේ 😂😂 සෙක්සි බනානා 😅😅 love you guys ❤,positive
Next level❤,positive
Wow  ❤❤,positive
"Creative, Entertaining 💯 ❤",positive
Creativity at it's peak 🔥,positive
සුපිරි දිග වීඩියෝ එකක් ඔනෙ ලගදිම 😍💝,positive
Gehan Blok looks like a Teenager 😂😂 Yako apitath keyapan rahasa 😂😂,positive
👍👍👍,positive
😂❤️..........ආතල් ........❤️😂,positive
Eka patta 🎉🎉🎉,positive
Gihan you looking great bn😂,positive
සුපර් වැඩක් නැවතත් ❤❤❤,positive
Peak creativity 🗣,positive
Very creative  😂❤️❤️,positive
Good 👍 job brother 🎉🎉🎉,positive
"your videos are so cinematic,🙂 nice",positive
:yt:❤‍🔥❤‍🔥❤‍🔥,positive
පට්ට...❤,positive
Short and sweat❣,positive
ඇන්කර් නම් වසම තමයි❤❤,positive
Ranjayya! ❤️,positive
Ado thanks bung! ❤️😂,positive
suuperrr 🤩,positive
Wow.. camera shots and all. 😘✨,positive
සුපිරියක්.,positive
අඩෝ blockva අදුරගන්නත් බැරි උනා ඩයල් එක handsome වෙලා 😂❤,positive
athal amo,positive
ඇඩ් නම් ඇඩ් මේවා තමයි Video එක ඉවර වෙනකන් හිතා ගන්න බෑ මේක Ad එකක් කියලා😂.,positive
Gehan's New look 🔥❤,positive
"nailed it once more, well gone guys !!",positive
Film එකක් හදන්නම ඕන චරිත 🫶,positive
Short & Sweet ❤,positive
සුපිරියක් 💗,positive
😂❤nice one. dino &  blok.,positive
අඩේ අදත් සුපිරී ඈ❤❤🎉😊,positive
"පිට කොන්දක් තියන කාන්තාවක්, අසාධාරණය වෙනුවෙන් හඩ නගන්න,,,,ඔබට ජය",positive
ඔයා දුවේ හරි.  තාත්තා වෙනුවෙන් හඩ නගන ඔයාට ජය ලැබිය යුතුමයි.,positive
හොස්පිට්ල් එකේ වැරැද්ද හොයන්නේ නැතුව පෝස්ට් එක දාපු එකාව හොයන් එනවා.. මරු පොලීසිය .. 🔥,negative
සුනකයොන්ට ජාතක වෙන්න හිටපු රාජ්‍යා සේවකයො ඉතා වැඩී ❤,negative
අපි කැමතී මේ NEWS වල ඊළඟට උනේ මොනාද කියල දැනගන්න. මේ NEWS එක මෙතනින් ඉවර වෙලා හරි යන් නෑ. ඊළඟ කොටසත් දාන්න.,neutral
"අදාල තරුනිය අසරන තත්වයට පත්කර ඇයව අමාරුවේ දැමීමට තැත්කරන සියළුම දෙනාට සාප වේවා!!!!
මෙහෙමත් අසාධාරණ රටක්",negative
"යකෝ  මේ  රටේ  ඉපදිච්ච මිනිස්සුන්ට  කථා  කරන්න බැරිද  තමන්ට  වෙන අසාදාරණ  ,   😢😢😢",negative
තමන් ගැන විතරක් නොවෙයි මුළු ජනතාවක් ගැන හිතලා නාගොඩ රෝහලේ අසාධාරණකම් හෙලිකළ ඔබතුමියට දෙවියන්ගේ පිහිට ලැබේවායි පතනවා,positive
"මම පිටරටක පරිත්‍යාගශීලියකු ගෙන් ලබාගත් රෝහල් ඇඳක් පරිත්‍යාග කලා නාගොඩ රෝහලට. බාර ගත්ත එවුන් ගත්තේ "" මොකට මේ රෙද්දවල් අරන් එනවද' මානසිකත්වයෙන්. ස්තූති ලිපියක් දෙන්න හරියටම අවුරුද්දක් ගියා. මම හිතන්නෙ ප්‍රශ්නෙ තියෙන්නෙ පරිපාලනයෙ. ගෞරවයෙන්, බුදුසරනයි.",negative
"භය වෙන්න එපා ටීචර්, අපි ඔයත් එක්ක ඉන්නව.",positive
"පොලිසිය ඉන්නෙ නීතිය හරි විදිහට ක්‍රියාත්මක කරන්න මිසක්, අයුතු විදිහට නීතිය අතට අරන් නටන්න නෙමෙයි.",negative
තාමාගේ තාත්තාට උන අසාධාරණය ගැනවත් කතා කරන්න බැරි රටක්  😠,negative
උසස් පොලිස් නිළධාරියා මේ කාන්තාවගෙන් කට උත්තරයක් හෝ ප්‍රකාශයක් ගැනීමට මගට එන්න කියපු සිද්ධිය ගැන ආයතන  මට්ටමේ විනය පරීක්ෂණයක් තැබිය යුතුයි. පොලිස් ස්ථානයේදී හෝ ගෙදරදී විය යුතු දෙයක් ඒක. සාමාන්‍යයෙන් පොලීසියක් අතරමගදී කාගෙන්වත් ප්‍රකාශ ගන්නා බවක් මීට පෙර අසා නැත. ඉස්පිරිතාලවලින් නම් අර වගේ දේවල් සම්බන්ධයෙන් ඕනෑ තරම් අසන්නට තිබේ,negative
මේක අවුරුද්දකට කලින් වුන දෙයක්. ඒත් දැන්වත් පරීක්ෂණයක් කරල ඒ පොලිස් නිලධාරීන් ගැන හොයල බලන්න. වොයිස් පට තියෙනවනෙ,neutral
ඉතා  සාධාරණ  එඩිතර  බුද්දිමත්  ගuරුවරියක්  ඔබ  රටක් වටිනා  කාන්තාවක්  අපි    සියලුම  දෙනා  ඔබ සමග ඉන්නවා   මේ රටේ ඔබ වගේම  කොන්ද  පන තියෙන  මිනිසුන්   ඉන්නව   ඔබ වෙනුවෙන්  හඩ නගන්නට  ❤👍👍👍❤❤❤👍,positive
නියමයි අක්කේ.ඔහොම තමයි ඉන්න ඕන.අසාදාරනය රජ උන  මහ කාලකණ්නි රටක් මේක.,positive
නිලධාරීන්ගේ  නිල ඇදුම ගලවපු දිනක ඔබත් සාමාන්‍ය මිනිසෙකු වන බවත් මනුස්සකම සියලු දෙනා තුල තිබිය යුතුයි .නිල බලය මහජනතාවගේ සුභ සිද්ධිය  වෙනුවෙන් පමණක්  යොදවන්න,negative
දුප්පත් අසරණ අයට එක විදියක්..... පෝසත් අයට තව විදියක්... 🥺💔,negative
සුපිරි හැමෝම මේ වගේ තමන්ට වෙන දේ ගැන කතා කරන්න.....පොලිසියෙන් නෙමේ මොකා කතා කලත් රෙකෝඩ් කර ගන්න....ස්තූතියි,positive
"මිනිස්සුන්ට සමාජ මාධ්‍ය විතරයි පිහිට , අපි සමාජ මාධ්‍ය හොදින් පරිහරණය කරමු ඔය වගෙ බල්ලොන්ට කරන්න පුළුවන් හොද දෙ එක",positive
Lankawe aneth unta na,neutral
බුදු සරණයි...!! නංගී....,positive
Apa.rata inna puka dana Policya  tamai,negative
🙏,positive
Minisune meewa wenuwen ekathu weyalla,positive
ලොකු අපරාදයක් තමයි යකෝ.දෙයක් තේරුම් නොගැනෙ.රෝගින් දහස්ගණන් සුවකරපු.දෛවය වරයට.බොරැචෝදනා.කිරිම. .ඔය.C D. හැම ලැප්ටොප් එකකින්ම.බලන්න බැ..බලන්න එපා කියනිනෙ.හිරෙන නිසා..,negative
..කොන්ද තමයි ⁣මිහරක්.,negative
🙏👍👍👍💐,positive
ඔව් අනිවාර්යයෙන් ම.,positive
teacher hari.  munge daruwantath ekka henama gahapiya,negative
 @manjulakumara4380  ane palayanban cd ekak mona lapeken baluwath ply wenna oni mokada ai ehe thiyenne amuthuma ekakda hospitlwala kohomath hoda minissu kotasak innawa e wagema amanayoth innawa oya wagemai halawath mulika rohalath,negative
 @manjulakumara4380  😂😂,positive
​ @manjulakumara4380  gedara genath balanna  ledage විස්තර  balanna බැරිනම්  c.d eka dinnee magulatada  aneka  thamunge leda gana thamunge leda gana dana ganna eka thamunge අයිතියක්  hora kamin wanchawen wada karana patta ballo baliyo innawa සමහර  hospital  wala,negative
​ @JothiPala-iq7wn lllłl7😊096,neutral
kondak tiynvnm om hsiren n kodu bagayk tinne eki,negative
ඇයි ඔය මිනිහට  සර් කියන්නෙ ?,neutral
" @manjulakumara4380  හරකෝ, CD එක බලලා තියෙන්නේ ඩොක්ටර් කෙනෙක්. ඔය CD තියෙන්නේ ඩොක්ටර්ලට බලන්ට තමයි. අනික උඹ දැක්කේ නැද්ද රෝහලින් කියලා තියෙනවා උන්ගේ මැෂින් එක කැඩිලා කියලා?",negative
We are with you!!!!,positive
Api oyath ekka ඉන්නවා miss ❤❤,positive
🙏🙏,positive
ඔය ආපු උන්ගේ ලමයින්ටත් එක්ක හෙන ගහාපිය..,negative
Great,positive
Oba wenuwen api innawa❤❤❤❤,positive
ඇත්තටම,positive
අනිවා,positive
Mun nathara wenne daruwata wena de balala thaththa ta dawa dala yanna wenne lede wediwela mee welawata karanna ona udau eekata mun karanne maannaya nisa idimunu unge sewaya,negative
අනිවාර්යයෙන්ම හැම කෙනාම මේ ඔය වගෙ වුණා නම්,positive
Salli. Bale. Thama.  Police. Balu kukko,negative
Okun ona guu godak lewakanawa salli dunnoth.. oya patthata dagena inne ona baluwedak wahanna puluwan ona jadawedak karana set ekak.. kisima manussayek wathura tikakwath okunta denna epa danwath..natthan mun hadenna kawadawath. Uniform eka pavichchi karanne jada weda walata,negative
Sirawatama Ow 😒,negative
Aneda kiyanne munge  balu  nithiya,negative
"Gu

Gu...guu....po...@@@@@@^",negative
Loke inna sakkilima polissiya. Srilanka,negative
Nodakin vitharak sister.,negative
"ලංකාවේ  හදවත් රෝගිය කුට    සලකන්නේ  මෙහෙමද?     හරිම  දුකයි.      "" මේවාට වගකිව යුත්තෝ කවුරුත් ද? """,negative
Kalakanni police  karayo tikak nisa ape rata balu wela.pau e manussayata ledeta udau nokara mun post eka gena thamai hoyanne.pahara hetta.,negative
Owage UN gedara arinnaa tawat minissu amaruwe nodaa,negative
Yako paminillak danna athi kawuru hri natnm polisiyen enne nhne,negative
Akd. ක්ලිනින් පොලිසි,negative
Pau ape rate ahinsaka minissunta thank na kata kiyannada,negative
Kalakanniyo Nisa kopamana janathawak oiwidiyata policeye unnge kakulyata asaranawela athida,negative
හොස්පිටල් එකෙන් g ගොඩක් හම්බ වෙන්න ඇති කැම්‍රි plcyt,negative
පකේ පොලිශ්.. 😂😂😂,negative
ඊළග කොටස දැක්කද. නෑ නේද... මේ කොටසින් වීඩියෝ එකේ ගාන හොයාගත්ත අයට ඊළග කොටස වැදගත් නෑ,negative
Ow,positive
එයා රජයේ සේවකයෙක් ගුරුවරයෙක් මානසික වැටෙන හැටි  බලන්නකෝ  උන්ට සාප වදින්න ඕනෑ මැරිලාත් පැය පහක් විතර,negative
Aniware sapama wewa,negative
අනිවාර්යයෙන් hena hathama ගහනවා .🙏🙏🙏🙏🙏🙏,negative
අනිවාර්යයෙන්ම සාප වේවා.!! ඕකුන් කන කෑමක් පවා විස වෙලා මියදේවා..,negative
පොලිස්පති තුමා මොනවාද මේ කාන්තා වන් ට කරන අසාධාරණ  ඇය වෙනුවෙන් හඬක් නැගී ය යුතුය ❤,negative
හිට්රල්ගේ  පාලනයට  යන ගමනක්,negative
බළ පුළුවන් කාර කමට විතරයි ලංකාවේ තැනක් තියෙන්නේ,negative
ඉන්දියාව වගේ දැන් ලංකාවෙත්.මාපියාවක් වෙලා.,negative
කතා කරන්නත් නිදහසක් නැති රටක්,negative
"රෙද්දේ රට,ඉන්දියන් සාගරයේ මුතුඇටය.🤔🤔🤔🤔🇱🇰🇱🇰🇱🇰🇱🇰🇱🇰🇱🇰🇱🇰🇱🇰🇱🇰",negative
"We have freedom to talk, don't be afraid.",positive
Katawa nawat wanna tawa neeti ei,negative
😂😂😂😂මේ රටේ ඉපදුනාට කතා කරන්නේ පර දේස වලින් මෙරටට ගෙනාපු ඒවා ගැන ඒ නිසා ඔහොම වෙනවා තවමත් දේශීයත්වයට  තැනක් දෙන්න රජය මැදිහත් වෙන්නෙත් නෑ රට‍ වැසියෝ උනන්දු වෙන්නෙත් නෑ 😂😂😂😂,negative
අපි ඉපදුන රටේ අපි වහල්ලු වාගේ ජීවත් වෙන්න වෙලා තියෙන්නේ  පොලීසිය ට.දේශපාලනය ට භයේ  රටට ගිය කලක්,negative
​ @nilanjaniwijendra4454 freedom eka henda thama ara police karaya teacher ta ara wedehata katha kale. katha karandawath danne nathe police karayo 😡,negative
 @rajakarunalilani6541  ou eka aththa akke,positive
එ්කනෙ  හොස්පිට්ල් එකට චෝදනාව  එනකොට මහජනතාවගෙ ප්‍රශ්න වෙනුවෙන් ඉදිරිපත් වෙලා එ්ක ගැන හොයල බලනව නෙවෙයි ප්‍රශ්නෙ තියන මනුස්සයට එ්ගැන කතා කරන්නවත් දෙන්නැතුව පාට් දානව,negative
දැන් මේකත් උතුරු කොරියාව වගේ හොස්පිටල් වල වැරදීම් කිය කිය අම්බානෙට මිනිසු මැරෙනව තේරෙන එකා හොයල බලනව නැති එකා ඔහේ වැලලිලා යනව හොස්පිටල් වල ලොකු ජාවාරමක් වෙනව හොයල බලන්න කෙනෙක් නැහැ පොලීසියත් දොස්තරලගේ කලිසම අස්සෙ,negative
තෙරුවන් සරණයි,positive
YouTube eke Idala monada karanna balaporottu wenne? Comment dada share karanava da?,negative
Ane ban me oya boru talk you tube wala dagena walalenna epa.. innawa redda...boru poiya witharai,negative
Aneh pala hutto boru kiyanne,negative
පොලිස්සියෙ සමහර අය හිතං ඉන්නේ එයාලට පොලිස් ඇඳුම ඇන්දම ඕනේ දෙයක් කරන්න පුළුවන් කියලා 👎👎shame on like that officers👎,negative
 @mathee666  ඔය ගුරුවරියට කතා කරන එස් පී පොන්සේකා කියන නොන්ඩි පකයත් එහෙම එකෙක්.ඌ සල්ලි වලට ඕනම ජරා වැඩක් කරනව.,negative
🙏👍,positive
"BAR Association this is for your concern . We need liberty, Justice , Equality . Protect the Civil Rights.",neutral
Nodakin mewage ratak,negative
Amma ththaththa nathi un ehma thamai,negative
අවජාතක පොලිසිය,negative
ඒ කතාව හරියටම හරි.අපි නිල ඇඳුමක් ඇන්දත් ඒ කතාවට හිස නමා ආචාර කරනවා.අද ඔබට නමි හෙට මට විය හැකියි...මගේ කෙනෙකු විය හැකියි...,positive
Oka therum gnna nathi ekane wde,negative
Aka Atha.. Maru Lanjava Nethiya,negative
ඔව් ඇත්ත,positive
Thank you so much. I'm glad you found the course helpful. I hope this course will help many people with their Generative AI journey. Happy Learning!😍😍,positive
If you are a beginner is imposible to get the knowledge. The guy teaches at 200% speed.,negative
"For those judging and laughing at his accent, take a moment to look at yourselves and laugh even more.., because he is at least making an effort to explain and teach... He has taken the initiative to educate us on such a trending topic. Despite being younger than many of you, he is confidently standing there and teaching.

It takes time, effort, and courage to be in that position. Instead of judging, appreciate his dedication.

Thank you, sir, for this amazing video! I learned a lot!😇",positive
"Great video keep going! do explore the ecosystem of CrewAI, OpenAI or LLama & Composio & Helicone, it's my personal favorite",positive
Thank you so much free code camp for everything you have blessed upon us. Humanity is indebted to you what you have done to educate compute science enthusiasts.,positive
"My baby steps progress as I'm busy
Day 1 (22 Nov 2024): reached 1:39:17
Day 2 (26 Nov 2024): reached 2:42:06
Day 3 (27 Nov 2024): reached 4:06:09
Day 4 (1 Dec 2024): reached 4:19:06
Day 5 (2 Dec 2024): reached 4:42:34
Day 6 (3 Dec 2024): reached 5:09:54 + 75% of Project 1 implementation
Day 7 (4 Dec 2024): reached 5:29:24
Day 8 (5 Dec 2024): Project Text to Speech done, still debugging Project 1
Day 9: (17 Dec 2024) reached 6:15:11 + Project text to Image + OpenAI demo code implementation

Coming back after a week from now!!",neutral
"Great! Another video I'll add to watch later and never finish! 

Happy Deepawali folks🎉❤",positive
just completed this full course in 20 days my God so much time haha thanks,positive
First time I changed my playback speed to 0.75 and didn't regret it :)). Great content 👏👏,positive
You will build our career!! Thank you so much 😊 This is such a fantastic contribution to the tech community. You have no idea!!! I look forward to completing this course ASAP.,positive
"00:00 📚 Course Overview
00:39 💼 Career Benefits
01:09 📖 Course Content
02:05 🤖 Large Language Models
03:14 📈 Vector Databases
03:42 📊 Frameworks & Tools
04:11 🚀 Deployment & LLM Ops
04:39 👋 Instructor Introduction
05:07 📚 Course Structure
06:04 🤔 What is Generative AI?
07:52 🤖 Generative AI generates new data based on training samples.
09:30 📊 Generative AI has various applications, including image, language, & audio models.
10:26 📚 Generative models learn from large amounts of data.
11:50 🤔 Why are generative models required?
12:04 📊 Understanding complex patterns from unstructured data.
12:32 📝 Content generation.
13:43 📈 Building powerful applications.
14:52 📊 The V diagram of artificial intelligence.
15:32 🤖 Generative AI models can generate new data from unstructured input data.
17:23 📊 Generative models are a subset of deep learning & are trained on huge amounts of data.
19:43 📚 Generative models are large language models that use deep learning algorithms to process & understand natural language.
20:52 💻 Large language models are multimodal, meaning they can perform multiple tasks.
21:49 💡 Large language models are powerful because they can perform multiple tasks with a single model.
22:46 📈 Large language models can perform multiple tasks with a single model.
23:14 🤖 Introduction to Generative AI
24:24 📈 Generative AI Pipeline
25:22 📊 Data Acquisition
28:27 📈 Data Collection Alternatives
29:51 🔄 Data Augmentation
31:59 🔄 Data Augmentation Techniques
35:40 📈 Data Acquisition Pipeline
36:08 🧹 Data Preprocessing
38:12 📊 Tokenization
39:23 🌎 Language Detection
41:11 💡 Tokenization & Text Representation
42:45 🔍 Steaming & Dimension Reduction
44:55 🔡 Lower Casing & Text Preprocessing
46:35 🔧 Advanced Preprocessing Techniques
49:51 📈 Feature Engineering & Text Vectorization
50:53 💻 Feature Engineering
51:47 📈 Modeling
52:15 🤔 Open-Source vs Paid Models
54:22 📊 Model Evaluation
55:18 📈 Extrinsic Evaluation
56:40 📈 Deployment
57:12 📝 Generative AI Pipeline
57:41 📚 Common Terms
59:38 📊 Data Preprocessing for Large Language Models
01:00:48 📈 IMDb Dataset Overview
01:02:12 📁 Uploading & Loading Data
01:03:35 📊 Data Shape & Columns
01:04:04 📊 Text Preprocessing Demo
01:04:46 📝 Text Preprocessing Techniques
01:05:13 ⬇ Lower Case Operation
01:06:24 📝 HTML Tag Removal
01:07:06 📝 Notebook Template for Functionality
01:07:35 🔄 Applying Functions to Data Sets
01:08:01 🚫 Removing HTML Tags & URLs
01:09:29 💡 Handling Punctuation
01:11:36 📊 Handling Chat Conversations
01:13:15 📝 Handling Incorrect Text
01:13:57 🚫 Handling Stop Words
01:14:25 📝 Understanding Stop Words
01:16:43 🚮 Removing Stop Words
01:17:38 🤖 Handling Emojis
01:19:46 📊 Tokenization
01:20:29 📄 Sentence-Level Tokenization
01:21:54 📝 Using Tokenization in Code
01:22:08 📝 Text Preprocessing Techniques
01:24:08 📊 Importance of Text Preprocessing
01:25:04 📈 Data Representation
01:26:28 📊 Feature Extraction
01:27:41 📊 Why Feature Extraction is Necessary
01:29:19 📊 Challenges of Feature Extraction
01:30:13 📊 Tabular Data in Machine Learning
01:31:54 📸 Image Data in Computer Vision
01:34:40 🎵 Audio Data Representation
01:36:18 📄 Text Data Representation
01:38:24 📊 Converting Text to Numerical Representation
01:39:21 📝 One-Hot Encoding Technique
01:44:20 📊 One-Hot Encoding Example
01:46:36 📈 Creating a Neural Network with One-Hot Encoding
01:47:59 📊 One-Hot Encoding Drawbacks
01:52:26 📈 Bag of Words Technique
01:54:59 📊 Bag of Words Limitations
01:56:45 📊 Techniques for Text Representation
01:57:41 🤖 Transformer-Based Encoding Technique
01:58:09 💻 Practical Demonstration of Bag of Words
01:59:48 📈 CountVectorizer & Bag of Words
02:02:31 📊 N-Grams & Bag of Words
02:04:35 📊 Understanding N-Grams for Sentiment Analysis
02:06:37 📈 TF-IDF for Text Representation
02:09:06 🤖 Word2Vec for Deep Learning
02:10:05 📊 Word2Vec Feature Extraction
02:12:37 📊 Generating Vectors for Entities
02:15:07 📈 Visualizing Entity Relationships
02:17:04 💡 Understanding Semantic Information
02:18:28 📊 Experimenting with Word2Vec
02:19:09 📊 Practical Application of Word2Vec
02:20:56 💻 Importing Libraries & Loading Data
02:22:27 📊 Data Preprocessing & Tokenization
02:23:49 🤖 Similarity Analysis & Character Matching
02:25:02 📈 Visualizing Similarity & Relationships
02:27:09 💡 Understanding Semantic Relationships
02:27:52 🤖 Attention Mechanism in Transformer Architecture
02:28:20 📚 Preparing Data for Large Language Models
02:28:48 📊 Text Classification Project
02:29:29 📊 Introduction to Text Classification
02:30:14 📈 Data Import & Preprocessing
02:33:02 🚮 Data Cleaning
02:35:08 📊 Data Preparation
02:36:05 📈 Feature Extraction
02:37:15 📊 Text Classification with Machine Learning
02:38:27 📈 Feature Selection
02:39:51 📊 N-Grams
02:40:31 📊 TF-IDF
02:41:41 📚 Text Classification with Machine Learning
02:42:10 🤖 Large Language Models
02:44:02 💻 Large Language Model Architecture
02:45:13 🤖 How Chat GPT was trained & works
02:46:10 📈 Transfer Learning
02:46:52 📊 Transformer Architecture
02:48:44 💻 Large Language Models
02:51:06 📚 Examples of Large Language Models
02:53:24 📚 Large Language Models & Their Characteristics
02:54:47 🤖 Transformer Architecture
02:55:30 📝 Encoder-Based Architectures
02:55:57 💻 Decoder-Based Architectures
02:56:25 📊 Models Using Both Encoder & Decoder Layers
02:56:40 🌐 OpenAI Models
02:58:05 🤝 Open-Source Large Language Models
02:59:41 📝 Applications of Large Language Models
03:00:10 💡 Prompt Engineering & Designing
03:01:05 📝 Types of Prompts in Large Language Models
03:02:59 💡 Importance of Prompt Engineering
03:03:14 📊 Transformer Architecture
03:05:05 📈 Understanding the Transformer Architecture
03:07:06 📊 Components of the Encoder Layer
03:08:02 📝 Text Preprocessing & Representation
03:08:44 🤖 How the input is encoded & passed through the self-attention layer
03:09:10 📝 Understanding the encoding process using a simple example
03:10:07 📊 Understanding self-attention at a high level
03:10:49 🔍 Understanding how self-attention works
03:12:12 📊 Understanding the weight initialization & update process
03:13:05 📝 Understanding the generation of queries, keys, & values
03:14:02 📊 Understanding the calculation of the score
03:15:11 📊 Understanding the softmax operation
03:16:06 📝 Understanding the multiplication of the softmax output with the values
03:16:33 🤖 Self-Attention Layer Operation
03:17:54 📊 Single Head Attention Limitation
03:18:10 🔍 Multi-Head Attention
03:20:05 📈 Multi-Head Attention in Transformer Architecture
03:22:41 📊 Positional Encoding
03:24:15 🕒 Positional Encoding in Sequential Data
03:25:52 📈 Residual Blocks in Transformer Architecture
03:27:28 🔄 Normalization in Transformer Architecture
03:28:38 📊 Entire Transformer Architecture
03:29:35 💻 Decoder Side of Transformer Architecture
03:31:16 📝 High-Level Understanding of Transformer Architecture
03:32:00 🤖 Transformer Architecture
03:32:54 💻 Large Language Models
03:33:37 📊 ChatGPT
03:34:47 📈 Training ChatGPT
03:37:19 📊 Generative Pre-training
03:38:17 📈 Supervised Fine-tuning
03:39:52 🤖 Training the SFT Char GPT Model
03:43:08 💬 Understanding the Chat GPT Model
03:43:50 📊 Introduction to Hugging Face
03:45:00 📈 Exploring the Hugging Face Platform
03:47:34 🤖 Hugging Face Platform for Generative AI
03:48:45 📚 Key Concepts in Hugging Face
03:49:57 💻 Hugging Face Services & Features
03:51:07 📊 Open-Source Large Language Models
03:51:49 📚 Learning Hugging Face & Generative AI
03:52:03 📊 Hugging Face Datasets & Libraries
03:53:26 📈 Hugging Face Spaces & Documentation
03:54:52 📊 Introduction to Hugging Face
03:55:18 🤖 Using Hugging Face with Python
03:56:16 💻 Setting up Google Colab
03:57:12 📈 Exploring Hugging Face Models
03:58:18 📊 Using the Pipeline Functionality
04:00:06 💡 Performing Sentiment Analysis",neutral
"I completed the entire thing and it took me 7 days to complete this. I appreciated the simplicity of the projects, they're doable and practical. Each day during the christmas holiday season, I am devoting 2-4 hrs of learning time with x2 speed. Debugging in the project sections is a separate thing.

Kudos to you for curating this. It surprises me that this field is innovating really fast that the libraries become outdated within months considering this is a recent upload.

I spent around $0.40 throughout the implementation of all these. Not even a dollar! (i didn't try the Colab Enterprise tho so Im not sure of the costs there)

Thank you and good luck to all trying to complete this!!",positive
"Almost an hour in, and I'm loving it, thank you very much.",positive
"Thank you so much, Bakhtiar for this wonderful course. I have completed this course within 7 days. I learned a lot from your course on Gen AI.",positive
Best video on GEN-AI. Will see full video .,positive
Thanks!,positive
"please like so i could complete the course faster
Day 1: 27:00
Day2: 1:09:47",neutral
"I was having trouble following him. So, I adjusted the speed of replay to 0.8 and that made it much easier.😀",positive
Wowww So Nice way in teaching and explaining a tough subject. After watching your video I am getting confident . Thanks so much God Bless You.,positive
"People in the comment section doesn't want to pay for expensive courses  and still cant appreciate the content they are getting for free and the efforts made for creating the video. Just pause the video if it's too long for you, and start from there again. And if it is too much of a thing for you then don't expect a playlist from the youtuber as well. 😮‍💨",negative
Is this for total beginners?,neutral
Ya let me know also plz,neutral
Tx bro,positive
"Bhai aap isko apne channel me hindi me upload kro, definetly benefit hoga. It help us to learn faster from native teacher than a second language teacher tutorial....if possible
agar na ho paye koi baat nahi
regards !!",neutral
 @sumitsingh-CANDY  He's from Bangladesh,neutral
What are the prerequisites for learning this Generative AI course?,neutral
Thank you bappy,positive
Thank God I found this,positive
Great to see bappy bhai collabing with freecodecamp!! 👏👏🙌🙌,positive
 @DhanNirankarSatkartar  bhai ye  beginners ke liye hai kya,neutral
"thanks for the course.
I just wanted to know whats the docker image size?
i am getting around 4 GB.
is there any way to reduce the docker image size?",neutral
@dswithbappy can I get your handwritten topic of the theory that you explained,neutral
Itne bure dinn aa gye bangladeshi se parhna parr rha hai 😢😢,negative
God bless him... I wholeheartedly appreciate him and his efforts to release his knowledge to public.,positive
@aliakbaramirkhani3265  Aameen,positive
Of what use is it to have a fancy accent and still be ignorant? People need to grow up and appreciate the kind gesture of sharing such invaluable info.,positive
"Man, if that guy wants to teach other people, he should understand that he is speaking for others outside his world. He has a very hard and closed accent that becomes worst because he speaks very fast. English is not my native language and I thought he was speaking japanese or zulu when started to watch the video. He should try to speak slowly and attenuate his accent to make it more acceptable for the world. If not, his effort (that I appreciate) is a waste of time.",negative
" @javierleyba   Bro the problem is in you then, if you are not able to catch his words, fix yourself, or else watch in 0.75x speed. He didn't tell that his videos have to reach over the world.",negative
"​​ @javierleyba I have learned From accents stronger than his. Trust me, this is a YOU problem. You don't have what it takes.",negative
" @Saniya123ok  well, its your opinion. You have started the conversation by complaining about those who were complaining about his accent and asking for tolerance towards him. Obviously, seems the problem is not only mine and you do not show tolerance or empathy towards others.",negative
" @beandinner1262  you are in a thread where someone is asking for tolerance to those that complain about his accent. If there is more people complaining from different places, seems clearly the problem is not only mine.",negative
 @javierleyba   Attention is all you need!😁,positive
"I actually think it might be more his microphone during the Course Overview. It becomes a lot clearer after the five minute mark when he switches to the actual content.

For those having trouble, just take the time to listen and get used to it, even if you have to reply a few parts to understand the differences in sounds. It's not like he's speaking gibberish. It's fluent English.",positive
 @Sazazezer  Yes True!,positive
